organization_name,lane,org_type,address,city,distance_miles,contact_name,role_target,email,phone,source,verification_status
Medical & Professional Building,Medical,clinic,32-72 Steinway Street,Astoria,4.21,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Early Sunrise Preschool & Kindergarden,School,kindergarten,187-10 Hillside Avenue,Hollis,4.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Northwell Health-GoHealth Urgent Care,Medical,clinic,37-01 Broadway,,4.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Prime Medical Care PC,Medical,doctors,,,4.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 85 - Judge Charles Vallone School,School,school,23-70 31st Street,Astoria,4.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Primary School 161,School,school,101-33 124th Street,,4.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"PJ Mahabir, MD",Medical,doctors,187-12 Hillside Avenue,Hollis,4.23,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Otolaryngology,Medical,doctors,30-66 35th Street,,4.24,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brightpoint Health,Medical,clinic,146-58 Sutphin Boulevard,Jamaica,4.24,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
DocCare,Medical,doctors,68-23 Fresh Pond Road,,4.24,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Tribeca Pediatrics,Medical,clinic,43-12 43rd Street,,4.24,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hillside Polymedic,Medical,doctors,187-30 Hillside Avenue,Hollis,4.25,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Multy Specialty Clinic,Medical,doctors,56-29 Metropolitan Avenue,,4.25,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cardiovasular Care,Medical,doctors,,,4.25,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Quality Med,Medical,doctors,187-42 Hillside Avenue,,4.26,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Welcome Accupuncture,Medical,clinic,180-09 Jamaica Avenue,Jamaica,4.26,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
43rd Street Family Practice,Medical,clinic,45-43 43rd Street,,4.26,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Most Precious Blood School,School,school,32-52 37th Street,,4.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint John's Preparatory School,School,school,,,4.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 71,School,school,62-85 Forest Avenue,,4.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
MedRite Urgent Care,Medical,clinic,30-02 30th Avenue,,4.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Pius Fifth School,School,school,105-20 Liverpool Street,,4.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sunnyside Pediatrics,Medical,clinic,42-24 Greenpoint Avenue,,4.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Little Peoples Playhouse 2 LLC,Support Organization,social_facility,22-31 Greene Avenue,,4.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bethel Mission Junior Academy,School,school,,,4.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Summit Health,Medical,clinic,214-22 73rd Avenue,,4.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Astoria Derm,Medical,doctors,,,4.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Metrokids Preschool,School,kindergarten,,,4.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hippocrates Medical Surgical Care Center,Medical,doctors,,,4.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 150,School,school,,,4.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 46,School,school,,,4.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Geraldine A. Ferraro Campus,School,school,55-20 Metropolitan Avenue,,4.36,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Marathon Infants & Toddlers, Inc.",Medical,doctors,220-18 Horace Harding Expressway,Oakland Gardens,4.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Benjamin Cardozo High School,School,school,57-00 223rd Street,Bayside,4.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ridgewood Medical Services,Medical,clinic,60-51 69th Avenue,Ridgewood,4.39,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Marys School,School,school,104-06 101st Avenue,,4.4,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Les Enfantes Montessori School,School,school,29-21 Newtown Avenue,,4.42,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Mary Gate of Heaven School,School,school,101-20 105th Street,,4.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Modern MD Urgent Care,Medical,clinic,103-42 Lefferts Boulevard,Richmond Hill,4.44,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Frank Sinatra School of the Arts,School,school,35-12 35th Avenue,Astoria,4.44,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Better Medical Care,Medical,clinic,212-15 Union Turnpike,Queens,4.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Grover Cleveland High School,School,school,,,4.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 93 Ridgewood,School,school,66-56 Forest Avenue,,4.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 122,School,school,,,4.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 234,School,school,,,4.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ryman Examination Services,Medical,clinic,195-24 Hillside Avenue,,4.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Astoria Pediatric Center,Medical,doctors,29-22 30th Avenue,,4.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 17 - Henry David Thoreau School,School,school,28-37 29th Street,Astoria,4.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 58,School,school,,,4.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 93,School,school,,,4.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sameer K Misra MD,Medical,doctors,196-02 Hillside Avenue,,4.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dermatology,Medical,doctors,196-02 Hillside Avenue,,4.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Howard W. Braddock M.D. P.C.,Medical,doctors,196-16 Hillside Avenue,,4.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 166,School,school,33-09 35th Avenue,,4.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Centers Urgent Care,Medical,clinic,27-15 30th Avenue,,4.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
RiteCare Medical Office,Medical,doctors,196-20 Hillside Avenue,,4.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Dr. Thomas Price, MD",Medical,doctors,,,4.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Jason Emer, MD",Medical,doctors,,,4.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Elizabeths School,School,school,94-01 84th Street,,4.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Baccalaureate School for Global Education,School,school,34-12 36th Avenue,,4.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 199 Maurice A. FitzGerald,School,school,,,4.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Middle School 210,School,school,,,4.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS48Q The David N. Dinkins School for Community Service,School,school,155th Street,Jamaica,4.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 7,School,school,,,4.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Osteopractic Center Physical Therapy,Medical,clinic,,,4.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 035 Nathaniel Woodhull,School,school,191-02 90th Avenue,,4.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dominick J Anastasio MD,Medical,doctors,21-01 23rd Avenue,,4.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bronx Mathematics Preparatory Academy,School,school,,,4.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Community Medical Care,Medical,doctors,199-09 Hillside Avenue,,4.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ridgewood Older Adult Center,Support Organization,social_facility,59-14 70th Avenue,Ridgewood,4.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Personal Care NP,Medical,doctors,191-05 Jamaica Avenue,,4.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Collective Paper Factory,Support Organization,social_facility,37-06 36th Street,Long Island City,4.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 174,School,school,,,4.57,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Corehealth Medical Care,Medical,doctors,190-02 Jamaica Avenue,Hollis,4.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
USA Vein Clinics,Medical,clinic,,,4.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Queens,Medical,hospital,25-10 30th Avenue,Astoria,4.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 116,School,school,,,4.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Archimedes Academy For Math, Science And Technology Applications",School,school,,,4.6,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
wBees Forest School,School,school,20 St. John's Road,,4.6,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Queens Technical High School,School,school,37-02 47th Avenue,,4.6,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Matthias School,School,school,,,4.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hillside Medical Office,Medical,doctors,,,4.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Link Homecare,Support Organization,social_facility,103-15 101st Street,,4.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Nursing Home,Support Organization,social_facility,,,4.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 188 Annex,School,school,,,4.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 316,School,school,90-01 101st Avenue,,4.62,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Committee for Early Childhood Development Head Start,School,kindergarten,193-04 Jamaica Avenue,,4.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bayside Medical,Medical,clinic,216-16 Union Turnpike,,4.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 188,School,school,,,4.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 040 Samuel Huntington,School,school,,,4.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 171,School,school,,,4.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Open MRI,Medical,doctors,204-16 Hillside Avenue,Hollis,4.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Metro Pain Specialists PC,Medical,doctors,204-12 Hillside Avenue,Hollis,4.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Aviation High School,School,school,,Long Island City,4.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Supermoon Community Art Space,School,school,753 Onderdonk Avenue,,4.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NYRC,Support Organization,social_facility,26-13 21st Street,Astoria,4.69,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Diabetes and Endocrinology,Medical,doctors,206-19 Hillside Avenue,,4.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 68Q,School,school,,,4.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Catholic Charities Bishop Valero Residence,Support Organization,social_facility,23-11 31st Road,Astoria,4.73,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Queens Lutheran School,School,school,,,4.74,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 69,School,school,560 Thieriot Avenue,,4.75,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 64,School,school,,,4.75,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bright Start,School,kindergarten,,,4.76,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Amazing Medical Services,Medical,doctors,110-16 Sutphin Boulevard,Jamaica,4.77,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Advantage Care Physicians,Medical,clinic,,,4.78,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctors,,,4.79,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 75,School,school,,,4.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Woodhull School (Historical),School,school,,,4.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
I.S. 126Q Albert Shanker School for Visual & Performing Arts,School,school,,,4.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 135,School,school,,,4.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Holy Cross School,School,school,1846 Randall Avenue,Bronx,4.81,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Teresa of Avila School,School,school,,,4.81,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Minnie's Family Daycare,School,school,17-38 Linden Street,,4.82,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Aloysius School,School,school,,,4.83,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mannam Medical Center,Medical,clinic,616 Castle Hill Avenue,Bronx,4.84,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 171,School,school,,,4.84,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ridgewood Dialysis Center,Medical,clinic,385 Seneca Avenue,Ridgewood,4.85,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Robco Kid Care,School,school,17-01 Madison Street,,4.85,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Doctors,Medical,clinic,31-60 21st Street,,4.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Glenridge Medical Associates,Medical,doctors,385 Seneca Avenue,Ridgewood,4.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Harghel Medical Office PC,Medical,doctors,220-41 Union Turnpike,Queens,4.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Q530 International High School at LaGuardia Community College,School,school,,,4.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
BM Pottery Studio NY,School,school,17-02 Gates Avenue,,4.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 108,School,school,108-10 109th Avenue,,4.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 305 Learners and Leaders,School,school,378 Seneca Avenue,,4.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 81,School,school,,,4.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 305,School,school,360 Seneca Avenue,,4.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 112,School,school,25-05 37th Avenue,,4.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Windsor Park Nursing Home,Support Organization,social_facility,,,4.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 108,School,school,,,4.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bayside Pediatric Care PC,Medical,doctors,221-16 Union Turnpike,,4.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Family Medical Care,Medical,doctors,213-02 Hillside Avenue,,4.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 98,School,school,,,4.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 100,School,school,,,4.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint John Vianney Roman Catholic School,School,school,,,4.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Long Island City High School,School,school,14-30 Broadway,,4.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
MS 137 - America's School of Heroes,School,school,,,4.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Our Lady of Perpetual Help School,School,school,,,4.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Stevenson Family Health Center,Medical,clinic,731 White Plains Road,Bronx,4.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ridgewood Pediatrics,Medical,doctors,186 Cypress Avenue,,4.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Family Medical Clinic,Medical,doctors,214-08 Hillside Avenue,,4.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Jamaica Hospital Medical Center,Medical,hospital,111-20 Merrick Boulevard,,4.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 65K,School,school,,,4.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Adlai E Stevenson High School,School,school,,,4.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Children’s Medical Group,Medical,doctors,311 St. Nicholas Avenue,Ridgewood,4.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School of Community Research and Learning,School,school,,,5.0,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bronx Guild High School,School,school,,,5.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
St. Brigid Catholic Academy,School,school,438 Grove Street,,5.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Medical Office,Medical,doctors,214-40 Hillside Avenue,,5.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York City Fire Department Training Academy,School,school,,,5.02,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Academy of American Studies,School,school,,,5.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Newcomers School,School,school,,,5.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Antonia Pantoja Preparatory Academy,School,school,,,5.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Health Force Training Center,School,prep_school,224-15A Union Turnpike,Oakland Gardens,5.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Urgent Care for Kids,Medical,clinic,161 Stanhope Street,Brooklyn,5.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
9 Million Reasons,Support Organization,social_facility,,,5.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Brigids School,School,school,406 Grove Street,,5.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Multi Medical Care,Medical,doctors,215-30 Hillside Avenue,,5.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Triborough GI Gastroenterology,Medical,doctors,129 Saint Nicholas Avenue,Brooklyn,5.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Andrew's Episcopal School,School,school,,,5.07,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Community Healthcare Network,Medical,clinic,36-11 21st Street,Queens,5.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
FootDrx,Medical,doctor,321 Starr Street,,5.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
M.S. 935,School,school,76 Dinsmore Place,Brooklyn,5.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 938,School,school,76 Dinsmore Place,,5.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
J.H.S. 162 The Willoughby,School,school,,,5.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 118 Lorraine Hansberry,School,school,190-20 109th Road,Saint Albans,5.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 100,School,school,800 Taylor Avenue,,5.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Wyckoff Heights Medical Center,Medical,hospital,374 Stockholm Street,Brooklyn,5.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
AFC Urgent Care,Medical,clinic,843 Hutchinson River Parkway,Bronx,5.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bright Horizons,School,kindergarten,42-09 28th Street,Long Island City,5.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Food Support Connections,Support Organization,social_facility,"184 Wyckoff Avenue,",Brooklyn,5.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 155,School,school,,,5.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Middle School 201,School,school,,,5.15,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
George Rosenfeld Center for Recovery,Medical,hospital,13 Hell Gate Circle,New York,5.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hybrid Movement Company,School,school,338 Moffat Street,,5.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 111 Jacob Blackwell,School,school,,,5.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 131,School,school,,,5.19,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ghumman Medical Care,Medical,doctors,218-38 Hillside Avenue,,5.19,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bushwick High School,School,school,,,5.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 72,School,school,,,5.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,25-18 Queens Plaza South,Long Island City,5.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ridgewood Bushwick Older Adult Center,Support Organization,social_facility,319 Stanhope Street,Brooklyn,5.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Academy for Excellence in Leadership,School,school,,,5.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
MMG East Tremont,Medical,clinic,3860 East Tremont Avenue,,5.21,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bushwick High School for Social Justice,School,school,,,5.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Harbor School,School,school,,,5.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Fresenius Kidney Care,Medical,clinic,220-05 Hillside Avenue,Queens,5.23,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Clarke Thomas Men’s Shelter,Support Organization,social_facility,121 Hell Gate Circle,,5.23,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 114,School,school,,,5.24,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School of Urban Planning,School,school,,,5.25,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Growing Up Green Middle School,School,school,34-12 10th Street,,5.25,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 151,School,school,,,5.26,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 108,School,school,,,5.26,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Monsignor Scanlan High School,School,school,941 Hutchinson River Parkway Service Road,Bronx,5.26,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 106,School,school,,,5.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Martins School,School,school,,,5.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Latina Medical Office,Medical,doctors,,,5.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 86,School,school,,,5.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
All Leadership Secondary School,School,school,,,5.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
