organization_name,lane,org_type,address,city,phone,email,website,contact_name,role_target,distance_miles,source,verification_status
New York Proton Center,Medical,hospital,225 East 126th Street,,,,https://www.nyproton.com/,,Pediatric Intake Coordinator,6.16,OpenStreetMap (Overpass),raw_unverified
La Salud Medical Center,Medical,clinic,99 Moore Street,,,,,,Pediatric Intake Coordinator,6.16,OpenStreetMap (Overpass),raw_unverified
Play Greenpoint,School,kindergarten,33 Nassau Avenue,,+1-718-496-1389,,https://www.playgreenpoint.com,,School Social Worker,6.16,OpenStreetMap (Overpass),raw_unverified
Mary D.'s Housing for Seniors,Support Organization,social_facility,80 Dupont Street,Brooklyn,+1-718-349-0978,,,,Program Intake Coordinator,6.16,OpenStreetMap (Overpass),raw_unverified
Saint Raymond High School for Boys,School,school,2151 Saint Raymond Avenue,,,,https://www.straymondhighschool.org/,,School Social Worker,6.16,OpenStreetMap (Overpass),raw_unverified
Memorial Sloan Kettering Cancer Center,Medical,hospital,1275 York Avenue,New York,+1 212 639 2000,,https://www.mskcc.org/,,Pediatric Intake Coordinator,6.16,OpenStreetMap (Overpass),raw_unverified
Community School District 7,School,school,,,,,http://www.csd7bx.org/,,School Social Worker,6.16,OpenStreetMap (Overpass),raw_unverified
Public School 18,School,school,,,,,,,School Social Worker,6.16,OpenStreetMap (Overpass),raw_unverified
Public School 10,School,school,,,,,,,School Social Worker,6.17,OpenStreetMap (Overpass),raw_unverified
Manhattan Schoolhouse,School,kindergarten,1538 2nd Avenue,,,,https://manhattanschoolhouse.com/1018-2/,,School Social Worker,6.17,OpenStreetMap (Overpass),raw_unverified
Immaculate Conception Parochial School,School,school,378 East 151st Street,,,,,,School Social Worker,6.17,OpenStreetMap (Overpass),raw_unverified
Trinity Human Services Corp.,Support Organization,social_facility,153 Johnson Avenue,Brooklyn,,,,,Program Intake Coordinator,6.17,OpenStreetMap (Overpass),raw_unverified
Trinity Thrift Shop,Support Organization,social_facility,,,,,,,Program Intake Coordinator,6.17,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Doctors,Medical,clinic,234 East 85th Street,,,,,,Pediatric Intake Coordinator,6.17,OpenStreetMap (Overpass),raw_unverified
Saint Peter and Saint Paul School,School,school,838 Brook Avenue,,,,,,School Social Worker,6.17,OpenStreetMap (Overpass),raw_unverified
The Howard Beach School,School,school,,,,,https://psms146q.org/,,School Social Worker,6.17,OpenStreetMap (Overpass),raw_unverified
Atria Cuttermill,Support Organization,social_facility,96 Cuttermill Road,Great Neck,,,,,Program Intake Coordinator,6.17,OpenStreetMap (Overpass),raw_unverified
Public School 5 Dr. Ronald McNair,School,school,,,,,https://www.schools.nyc.gov/schools/K005,,School Social Worker,6.18,OpenStreetMap (Overpass),raw_unverified
P.S/M.S 212,School,school,,,,,,,School Social Worker,6.18,OpenStreetMap (Overpass),raw_unverified
Brilla Public Charter Schools,School,school,,,,,https://brillaschools.org,,School Social Worker,6.19,OpenStreetMap (Overpass),raw_unverified
Hunter School of Social Work,School,school,2180 3rd Avenue,,,,,,School Social Worker,6.19,OpenStreetMap (Overpass),raw_unverified
The Bentley Hotel,Support Organization,social_facility,500 East 62nd Street,New York,+1-212-644-6000,,https://bentleyhotelnyc.com/,,Program Intake Coordinator,6.19,OpenStreetMap (Overpass),raw_unverified
Ardor School,School,school,29 Nassau Avenue,Brooklyn,,,https://www.ardorschool.com,,School Social Worker,6.19,OpenStreetMap (Overpass),raw_unverified
Greenpoint Hunger Program,Support Organization,social_facility,"123 Milton Street, Brooklyn, NY 11222",,,,,,Program Intake Coordinator,6.19,OpenStreetMap (Overpass),raw_unverified
Public School 257,School,school,,,,,,,School Social Worker,6.19,OpenStreetMap (Overpass),raw_unverified
Holy Family School,School,school,,,,,,,School Social Worker,6.2,OpenStreetMap (Overpass),raw_unverified
Public School 77,School,school,,,,,,,School Social Worker,6.2,OpenStreetMap (Overpass),raw_unverified
Little Neck Care Center,Support Organization,rehabilitation,260-19 Nassau Boulevard,,+1-718-423-6400,,,,Program Intake Coordinator,6.2,OpenStreetMap (Overpass),raw_unverified
Northwell Health-GoHealth Urgent Care,Medical,clinic,175 East 96th Street,New York,+1 718-948-4942,,https://www.gohealthuc.com/northwell/locations/east-96th,,Pediatric Intake Coordinator,6.2,OpenStreetMap (Overpass),raw_unverified
Optum Urgent Care,Medical,clinic,1601 3rd Avenue,,+1 646-692-6272,,https://east.optum.com/locations/urgent-care-yorkville/,,Pediatric Intake Coordinator,6.2,OpenStreetMap (Overpass),raw_unverified
Public School 86,School,school,,,,,,,School Social Worker,6.21,OpenStreetMap (Overpass),raw_unverified
King's Academy,School,school,,,,,,,School Social Worker,6.21,OpenStreetMap (Overpass),raw_unverified
Arc En Ciel,School,kindergarten,1656 3rd Avenue,,+1 212-410-0180,director@arcencielny.com,https://www.arcencielny.com,,School Social Worker,6.21,OpenStreetMap (Overpass),raw_unverified
Century Medical & Dental Center,Medical,clinic,2315 3rd Avenue,New York,+1-212-540-5020,kaitlyns@centurymedicaldental.com,https://www.centurymedicaldental.com/,,Pediatric Intake Coordinator,6.21,OpenStreetMap (Overpass),raw_unverified
Automotive High School,School,school,,,,,,,School Social Worker,6.21,OpenStreetMap (Overpass),raw_unverified
Public School 198,School,school,1700 3rd Avenue,,+1 212-289-3702,,https://www.ps198m.org,,School Social Worker,6.22,OpenStreetMap (Overpass),raw_unverified
Weill Cornell Medical Associates,Medical,clinic,215 East 85th Street,,,,,,Pediatric Intake Coordinator,6.22,OpenStreetMap (Overpass),raw_unverified
Rothaus Plastic Surgery,Medical,doctors,325 East 72nd Street,New York,+1-212-737-0770,,https://www.rothausmd.com/,,Pediatric Intake Coordinator,6.22,OpenStreetMap (Overpass),raw_unverified
Public School 26,School,school,,,,,,,School Social Worker,6.22,OpenStreetMap (Overpass),raw_unverified
Renaissance High School of Musical Theater and Technology,School,school,,,,,,,School Social Worker,6.23,OpenStreetMap (Overpass),raw_unverified
The Dalton School Physical Education Center,School,school,200 East 87th Street,,,,,,School Social Worker,6.23,OpenStreetMap (Overpass),raw_unverified
Community Healthcare Network - Williamsburg,Medical,clinic,94-98 Manhattan Avenue,Brooklyn,+1-718-388-0390,,https://www.chnnyc.org/williamsburg/,,Pediatric Intake Coordinator,6.23,OpenStreetMap (Overpass),raw_unverified
"Gad Avshalomov, New York Allergy, Asthma & Immunology",Medical,doctors,364 East 69th Street,,+1 646-876-1092,,,,Pediatric Intake Coordinator,6.23,OpenStreetMap (Overpass),raw_unverified
Williamsburg Health Center,Medical,clinic,,,,,,,Pediatric Intake Coordinator,6.23,OpenStreetMap (Overpass),raw_unverified
Borinquen Plaza Older Adult Center,Support Organization,social_facility,80 Seigel Street,Brooklyn,,,,,Program Intake Coordinator,6.23,OpenStreetMap (Overpass),raw_unverified
Queen of Peace Residence,Support Organization,social_facility,110-30 221st Street,,,,,,Program Intake Coordinator,6.23,OpenStreetMap (Overpass),raw_unverified
Brandywine at the Savoy,Support Organization,social_facility,,,,,,,Program Intake Coordinator,6.23,OpenStreetMap (Overpass),raw_unverified
Academy for Careers in Television & Film,School,school,1-50 51st Avenue,Long Island City,,,https://www.schools.nyc.gov/schools/Q301,,School Social Worker,6.24,OpenStreetMap (Overpass),raw_unverified
Public School 15,School,school,121-15 Lucas Street,,,,,,School Social Worker,6.24,OpenStreetMap (Overpass),raw_unverified
Public School 007,School,school,160 East 120th Street,New York,+1-212-860-5827,,https://www.schools.nyc.gov/schools/M007,,School Social Worker,6.24,OpenStreetMap (Overpass),raw_unverified
Intermediate School 183,School,school,,,,,,,School Social Worker,6.25,OpenStreetMap (Overpass),raw_unverified
Northeast Academy,School,school,,,,,,,School Social Worker,6.25,OpenStreetMap (Overpass),raw_unverified
Tisch Center for Women's Health,Medical,clinic,207 East 84th Street,,+1-646-754-3300,,https://nyulangone.org/locations/joan-h-tisch-center-for-womens-health,,Pediatric Intake Coordinator,6.25,OpenStreetMap (Overpass),raw_unverified
Personal Injury Urgent Care,Medical,clinic,129-11 Merrick Boulevard,,+1-718-576-1588,,,,Pediatric Intake Coordinator,6.25,OpenStreetMap (Overpass),raw_unverified
Williamsburg Therapy Group,Medical,doctors,,,,,,,Pediatric Intake Coordinator,6.25,OpenStreetMap (Overpass),raw_unverified
Richard S. Sherman - Great Neck North Middle School,School,school,77 Polo Road,Great Neck,+1-516-441-4500,,https://www.greatneck.k12.ny.us/GNPS/NMS/,,School Social Worker,6.25,OpenStreetMap (Overpass),raw_unverified
Public School Q186 Castlewood,School,school,,,,,,,School Social Worker,6.25,OpenStreetMap (Overpass),raw_unverified
Northwell Health Clinical Laboratories of New York,Medical,clinic,,,,,,,Pediatric Intake Coordinator,6.25,OpenStreetMap (Overpass),raw_unverified
North Shore Hebrew Academy,School,school,26 Old Mill Road,Great Neck,+1 516-487-9163,,https://nsha.org/,,School Social Worker,6.26,OpenStreetMap (Overpass),raw_unverified
Cardiology Consultants of New York,Medical,doctors,311 East 72nd Street,,,,,,Pediatric Intake Coordinator,6.26,OpenStreetMap (Overpass),raw_unverified
Saint Anthony School,School,school,,,,,,,School Social Worker,6.26,OpenStreetMap (Overpass),raw_unverified
Public School 198,School,school,1180 Tinton Avenue,,,,,,School Social Worker,6.26,OpenStreetMap (Overpass),raw_unverified
Bronx High School of Letters,School,school,,,,,,,School Social Worker,6.27,OpenStreetMap (Overpass),raw_unverified
Intermediate School 224,School,school,,,,,,,School Social Worker,6.27,OpenStreetMap (Overpass),raw_unverified
Public School M030 Hernandez / Hughes,School,school,,,,,,,School Social Worker,6.27,OpenStreetMap (Overpass),raw_unverified
Bronx Academy of Letters,School,school,,,,,,,School Social Worker,6.27,OpenStreetMap (Overpass),raw_unverified
Preschool of America,School,kindergarten,1501 Lexington Avenue,,+1 212-987-3700,emims@preschoolofamerica.us,http://www.preschoolofamerica.us,,School Social Worker,6.27,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctors,1425 2nd Avenue,,+1 212-385-3700,,http://thedermspecs.com,,Pediatric Intake Coordinator,6.27,OpenStreetMap (Overpass),raw_unverified
Catholic Charaties Brooklyn and Queens,Support Organization,social_facility,333 Hart Street,Brooklyn,,,,,Program Intake Coordinator,6.27,OpenStreetMap (Overpass),raw_unverified
Lakeville School,School,school,,,,,,,School Social Worker,6.27,OpenStreetMap (Overpass),raw_unverified
Bronx International High School,School,school,,,,,,,School Social Worker,6.28,OpenStreetMap (Overpass),raw_unverified
High School for Violin and Dance,School,school,,,,,,,School Social Worker,6.28,OpenStreetMap (Overpass),raw_unverified
School for Excellence High School,School,school,,,,,,,School Social Worker,6.28,OpenStreetMap (Overpass),raw_unverified
Middle School 203,School,school,,,,,,,School Social Worker,6.28,OpenStreetMap (Overpass),raw_unverified
Public School M333 Manhattan School for Children,School,school,,,,,,,School Social Worker,6.28,OpenStreetMap (Overpass),raw_unverified
Upper East Side Rehabilitation and Nursing Center,Support Organization,rehabilitation,211 East 79th Street,New York,,,,,Program Intake Coordinator,6.28,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,1500 Lexington Avenue,,+1 212-710-1065,,https://www.citymd.com/urgent-care-locations/ny/manhattan/east-96th/036,,Pediatric Intake Coordinator,6.28,OpenStreetMap (Overpass),raw_unverified
DaVita Dialysis Center Of Queens,Medical,clinic,Hempstead Avenue,,,,,,Pediatric Intake Coordinator,6.28,OpenStreetMap (Overpass),raw_unverified
St. Nicks Alliance,Support Organization,social_facility,,,,,,,Program Intake Coordinator,6.28,OpenStreetMap (Overpass),raw_unverified
K385 School of Business Finance and Entrepreneurship,School,school,,,,,,,School Social Worker,6.29,OpenStreetMap (Overpass),raw_unverified
Public School M138,School,school,,,,,,,School Social Worker,6.29,OpenStreetMap (Overpass),raw_unverified
The Salvation Army Manhattan Citadel Corps Community Center,Support Organization,social_facility,145 East 125th Street,,,,,,Program Intake Coordinator,6.29,OpenStreetMap (Overpass),raw_unverified
Northwell Health Physician Partners,Medical,clinic,178 East 85th Street,,,,,,Pediatric Intake Coordinator,6.29,OpenStreetMap (Overpass),raw_unverified
Saint Cecilia's Food Pantry,Support Organization,social_facility,125 East 105th Street,,+1 212 348 0488,,https://cccsny.org/services/neighborhood-centers-east-harlem,,Program Intake Coordinator,6.29,OpenStreetMap (Overpass),raw_unverified
QCC Services Inc. The PAC Program,Medical,clinic,,,,,,,Pediatric Intake Coordinator,6.29,OpenStreetMap (Overpass),raw_unverified
BSNBCS High School,School,school,217 North 10th Street,,+1-347-943-5940,,https://bsnbcs.org/high-school/,,School Social Worker,6.29,OpenStreetMap (Overpass),raw_unverified
PS 149 Annex,School,school,377 Pennsylvania Avenue,,,,,,School Social Worker,6.29,OpenStreetMap (Overpass),raw_unverified
Montefiore Westchester Square Campus,Medical,hospital,2475 Saint Raymonds Avenue,Bronx,+1 718 430 7300,,https://www.montefiore.org/westchester-square-campus,,Pediatric Intake Coordinator,6.29,OpenStreetMap (Overpass),raw_unverified
Cathedral High School,School,school,,,,,,,School Social Worker,6.3,OpenStreetMap (Overpass),raw_unverified
Public School 271,School,school,1137 Herkimer Street,Brooklyn,,,,,School Social Worker,6.3,OpenStreetMap (Overpass),raw_unverified
Public School 101,School,school,141 East 111th Street,,,,,,School Social Worker,6.3,OpenStreetMap (Overpass),raw_unverified
John L. Miller - Great Neck North High School,School,school,35 Polo Road,Great Neck,+1-516-441-4700,,https://www.greatneck.k12.ny.us/GNPS/NHS/,,School Social Worker,6.3,OpenStreetMap (Overpass),raw_unverified
Public School 18,School,school,,,,,,,School Social Worker,6.3,OpenStreetMap (Overpass),raw_unverified
M459 Manhattan International High School,School,school,,,,,,,School Social Worker,6.31,OpenStreetMap (Overpass),raw_unverified
M565 Urban Academy Laboratory High School,School,school,,,,,,,School Social Worker,6.31,OpenStreetMap (Overpass),raw_unverified
Saint Paul's School,School,school,114 East 118th Street,,,,,,School Social Worker,6.31,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,32 Westchester Square,Bronx,,,,,Pediatric Intake Coordinator,6.31,OpenStreetMap (Overpass),raw_unverified
USA Vein Clinic,Medical,clinic,1153 1st Avenue,New York,,,,,Pediatric Intake Coordinator,6.31,OpenStreetMap (Overpass),raw_unverified
Cristo Rey New York High School,School,school,,,,,,,School Social Worker,6.31,OpenStreetMap (Overpass),raw_unverified
Birch Wathen Lenox School,School,school,210 East 77th Street,New York,+1-212-861-0404,,https://www.bwl.org/,,School Social Worker,6.31,OpenStreetMap (Overpass),raw_unverified
Public School 134,School,school,1330 Bristow Street,,,,,,School Social Worker,6.31,OpenStreetMap (Overpass),raw_unverified
Junior High School K057 Whitelaw Reid,School,school,,,,,,,School Social Worker,6.32,OpenStreetMap (Overpass),raw_unverified
Ella Baker School,School,school,,,,,,,School Social Worker,6.32,OpenStreetMap (Overpass),raw_unverified
Vanguard High School,School,school,317 East 67th Street,,,,https://vanguardhighschool.org/,,School Social Worker,6.32,OpenStreetMap (Overpass),raw_unverified
New York Medical Imaging Associates,Medical,clinic,165 East 84th Street,,+1 212-535-9770,,www.nymiassociates.con,,Pediatric Intake Coordinator,6.32,OpenStreetMap (Overpass),raw_unverified
Sumner Older Adult Club,Support Organization,social_facility,862 Park Avenue,Brooklyn,,,,,Program Intake Coordinator,6.32,OpenStreetMap (Overpass),raw_unverified
Great Neck Adult Learning Center,School,school,,,,,,,School Social Worker,6.32,OpenStreetMap (Overpass),raw_unverified
Salvation Army: Bronx Citadel,School,kindergarten,,,,,,,School Social Worker,6.32,OpenStreetMap (Overpass),raw_unverified
Saint Johns Preparatory School,School,school,,,,,,,School Social Worker,6.33,OpenStreetMap (Overpass),raw_unverified
Plaza del Castillo Health Center,Medical,clinic,1515 Southern Boulevard,Bronx,+1 718 589 1600,,https://www.urbanhealthplan.org/plaza-del-castillo-health-center/,,Pediatric Intake Coordinator,6.33,OpenStreetMap (Overpass),raw_unverified
VRMED,Medical,clinic,242 East 72nd Street,New York,,,,,Pediatric Intake Coordinator,6.33,OpenStreetMap (Overpass),raw_unverified
Williamsburg Northside Lower School,School,school,299 North 7th Street,Brooklyn,,,https://www.willnorth.org/,,School Social Worker,6.33,OpenStreetMap (Overpass),raw_unverified
P.S. 384 - Hunters Point Elementary,School,school,,,,,,,School Social Worker,6.33,OpenStreetMap (Overpass),raw_unverified
Public School/Middle School 3,School,school,,,,,,,School Social Worker,6.34,OpenStreetMap (Overpass),raw_unverified
Talent Unlimited High School,School,school,300 East 68th Street,,,,https://tuhs.nyc/,,School Social Worker,6.34,OpenStreetMap (Overpass),raw_unverified
Bunny Hill Daycare & Preschool,School,kindergarten,213 West Street,Brooklyn,+1-718-349-8811,,https://www.bunnyhillkids.com,,School Social Worker,6.34,OpenStreetMap (Overpass),raw_unverified
Uncommon Brownsville North Elementary School,School,school,,,,,https://nyc.uncommonschools.org/brownsville-north-elementary/,,School Social Worker,6.35,OpenStreetMap (Overpass),raw_unverified
The Godwin Terrace School,School,school,,,,,https://www.ps207.org/,,School Social Worker,6.35,OpenStreetMap (Overpass),raw_unverified
ThrIVewell Infusion,Medical,clinic,,,+1 212-803-3339,,https://thrivewellinfusion.com,,Pediatric Intake Coordinator,6.36,OpenStreetMap (Overpass),raw_unverified
Buckley School,School,school,,,,,,,School Social Worker,6.36,OpenStreetMap (Overpass),raw_unverified
Public School 29,School,school,,,,,,,School Social Worker,6.37,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,130-30 Farmers Boulevard,,+1-646-518-8263,,https://www.citymd.com/urgent-care-locations/ny/springfield-gardens,,Pediatric Intake Coordinator,6.37,OpenStreetMap (Overpass),raw_unverified
Discreet Plastic Surgery,Medical,doctors,215 East 72nd Street,New York,+1-718-705-4251,,https://discreetplasticsurgery.com/,,Pediatric Intake Coordinator,6.37,OpenStreetMap (Overpass),raw_unverified
Lincoln Hospital,Medical,hospital,234 Eugenio Maria De Hostos Boulevard,Bronx,+1 718 579 5000,,https://www.nychealthandhospitals.org/lincoln/,,Pediatric Intake Coordinator,6.37,OpenStreetMap (Overpass),raw_unverified
NYC Health + Hospitals/Woodhull,Medical,hospital,760 Broadway,Brooklyn,+1 718 963 8000,,https://www.nychealthandhospitals.org/woodhull/,,Pediatric Intake Coordinator,6.37,OpenStreetMap (Overpass),raw_unverified
All Saints High School,School,school,,,,,,,School Social Worker,6.38,OpenStreetMap (Overpass),raw_unverified
Public School 37,School,school,,,,,,,School Social Worker,6.38,OpenStreetMap (Overpass),raw_unverified
"Sean McCance, MD",Medical,doctors,1155 Park Avenue,New York,+1-646-493-7640,info@herniateddiscsurgeryspecialistsnyc.com,https://www.herniateddiscsurgeryspecialistsnyc.com,,Pediatric Intake Coordinator,6.38,OpenStreetMap (Overpass),raw_unverified
P.S. 147Q Ronald McNair,School,school,,,,,http://schools.nycenet.edu/Region3/ps147/,,School Social Worker,6.38,OpenStreetMap (Overpass),raw_unverified
Junior High School 136,School,school,,,,,,,School Social Worker,6.38,OpenStreetMap (Overpass),raw_unverified
All Saints Elementary School,School,school,,,,,,,School Social Worker,6.39,OpenStreetMap (Overpass),raw_unverified
New York Cardiac Diagnostic Center,Medical,clinic,115 East 86th Street,New York,+1-212-860-0796,info@newyorkcardiac.com,https://newyorkcardiac.com,,Pediatric Intake Coordinator,6.39,OpenStreetMap (Overpass),raw_unverified
Atria Parak of Great Neck,Support Organization,social_facility,51 Great Neck Road,Great Neck,+1-516-829-4100,,https://www.atriaseniorliving.com/,,Program Intake Coordinator,6.39,OpenStreetMap (Overpass),raw_unverified
Memorial Sloan Kettering Cancer Center,Medical,clinic,,,,,,,Pediatric Intake Coordinator,6.39,OpenStreetMap (Overpass),raw_unverified
Life is Previous (LIP),Support Organization,social_facility,,,,,,,Program Intake Coordinator,6.4,OpenStreetMap (Overpass),raw_unverified
Public School 40 George W. Carver,School,school,265 Ralph Avenue,Brooklyn,,,https://www.schools.nyc.gov/schools/K040,,School Social Worker,6.4,OpenStreetMap (Overpass),raw_unverified
Central Park East Secondary School,School,school,1573 Madison Avenue,,,,,,School Social Worker,6.4,OpenStreetMap (Overpass),raw_unverified
Morrisania Head Start Center Number 1,School,school,,,,,,,School Social Worker,6.41,OpenStreetMap (Overpass),raw_unverified
Junior High School 13,School,school,,,,,,,School Social Worker,6.41,OpenStreetMap (Overpass),raw_unverified
NYC Health + Hospitals/Carter,Support Organization,social_facility,1752 Park Avenue,New York,+1 646 686 0000,,https://www.nychealthandhospitals.org/carter/,,Program Intake Coordinator,6.41,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,,,,,,,Pediatric Intake Coordinator,6.41,OpenStreetMap (Overpass),raw_unverified
Neighborhood Opportunity Network,Support Organization,social_facility,,,,,,,Program Intake Coordinator,6.41,OpenStreetMap (Overpass),raw_unverified
Public School 328,School,school,,,,,,,School Social Worker,6.41,OpenStreetMap (Overpass),raw_unverified
Ramaz School,School,school,,,,,,,School Social Worker,6.42,OpenStreetMap (Overpass),raw_unverified
SkinLab,Medical,doctors,1237 3rd Avenue,,,,https://skinlab-nyc.com,,Pediatric Intake Coordinator,6.42,OpenStreetMap (Overpass),raw_unverified
Harry Van Arsdale High School,School,school,,,,,,,School Social Worker,6.42,OpenStreetMap (Overpass),raw_unverified
Madison Square Boys & Girls Club,Support Organization,social_facility,1665 Hoe Avenue,Bronx,,,,,Program Intake Coordinator,6.43,OpenStreetMap (Overpass),raw_unverified
Hunter College Campus Schools,School,school,,,,,,,School Social Worker,6.43,OpenStreetMap (Overpass),raw_unverified
Global Neuropsychology Solutions,Medical,doctors,1120 Park Avenue,New York,,,,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Dr. Shawn Khodadadian,Medical,clinic,983 Park Avenue,New York,+1-212-427-8761,info@manhattangastroenterology.com,https://www.manhattangastroenterology.com,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Foot Center of New York,Medical,clinic,55 East 124th Street,,+1-212-410-8158,,,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Dr. Susan Bard,Medical,clinic,983 Park Avenue,New York,+1-212-389-1333,info@varicoseveinscenternyc.com,https://www.varicoseveinscenternyc.com,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Dr. Fernando Mariz,Medical,clinic,983 Park Avenue,New York,+1-212-389-1904,info@obgynecologistnyc.com,https://www.obgynecologistnyc.com,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Dr. Susan Bard,Medical,clinic,983 Park Avenue,New York,+1-212-427-8750,info@manhattandermatologistsnyc.com,https://www.manhattandermatologistsnyc.com,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Dr. Mohammad Rimawi,Medical,clinic,983 Park Avenue,New York,+1-212-389-1886,info@footdoctorpodiatristnyc.com,https://www.footdoctorpodiatristnyc.com,,Pediatric Intake Coordinator,6.44,OpenStreetMap (Overpass),raw_unverified
Public School 79,School,school,55 East 120th Street,,,,,,School Social Worker,6.44,OpenStreetMap (Overpass),raw_unverified
St. Martin's Nursery & Kindergarten School,School,kindergarten,657 Van Siclen Avenue,Brooklyn,+1-718-927-2363,,http://stmartinsnurseryandkindergarten.net,,School Social Worker,6.45,OpenStreetMap (Overpass),raw_unverified
Dr. Nabeel Chaudhary,Medical,clinic,983 Park Avenue,New York,+1-212-389-9929,info@manhattanprimarycaredoctorsnyc.com,https://www.manhattanprimarycaredoctorsnyc.com,,Pediatric Intake Coordinator,6.45,OpenStreetMap (Overpass),raw_unverified
Children's Storefront School,School,school,70 East 129th Street,,,,,,School Social Worker,6.45,OpenStreetMap (Overpass),raw_unverified
Tiferes Bnos Girls School,School,school,,,,,,,School Social Worker,6.46,OpenStreetMap (Overpass),raw_unverified
Dalton School,School,school,,,,,,,School Social Worker,6.46,OpenStreetMap (Overpass),raw_unverified
Spence Lower School,School,school,56 East 93rd Street,New York,+1 212-289-5940,,https://www.spenceschool.org/page/program/lower-school,,School Social Worker,6.46,OpenStreetMap (Overpass),raw_unverified
Allen-Stevenson School,School,school,,,+1 212-288-6710,,https://www.allen-stevenson.org/,,School Social Worker,6.46,OpenStreetMap (Overpass),raw_unverified
Dr. Benjamin Paul,Medical,doctors,225 East 64th Street,New York,+12128328595,,https://www.drbenpaul.com/,,Pediatric Intake Coordinator,6.46,OpenStreetMap (Overpass),raw_unverified
Rowe Chiropractic Offices,Medical,clinic,316 East 59th Street,,,,,,Pediatric Intake Coordinator,6.46,OpenStreetMap (Overpass),raw_unverified
Intermediate School 201,School,school,,,,,,,School Social Worker,6.47,OpenStreetMap (Overpass),raw_unverified
Family Health Center Of Harlem,Medical,clinic,,,,,,,Pediatric Intake Coordinator,6.47,OpenStreetMap (Overpass),raw_unverified
Premier Internal Medicine Associates,Medical,doctors,,,+1-718-977-1207,,,,Pediatric Intake Coordinator,6.47,OpenStreetMap (Overpass),raw_unverified
Choir Academy of Harlem,School,school,,,,,,,School Social Worker,6.48,OpenStreetMap (Overpass),raw_unverified
Intermediate School 318,School,school,101 Walton Street,,,,,,School Social Worker,6.48,OpenStreetMap (Overpass),raw_unverified
The Children's Storefront Academy,School,school,59 East 129th Street,New York,,,,,School Social Worker,6.48,OpenStreetMap (Overpass),raw_unverified
Best Urologist Brooklyn,Medical,doctors,1797 Pitkin Avenue,Brokklyn,+13478681098,info@doralhw.org,https://www.urologistbrooklyn.com/,,Pediatric Intake Coordinator,6.48,OpenStreetMap (Overpass),raw_unverified
Doral Health & Wellness,Medical,clinic,1797 Pitkin Avenue,Brooklyn,+1 347-955-3465,,https://doralhw.org,,Pediatric Intake Coordinator,6.48,OpenStreetMap (Overpass),raw_unverified
Public School 80,School,school,171-05 137th Avenue,,,,,,School Social Worker,6.48,OpenStreetMap (Overpass),raw_unverified
Public School 171,School,school,,,+1 212-860-5801,,https://www.ps171.org/,,School Social Worker,6.48,OpenStreetMap (Overpass),raw_unverified
"Monica Tadros, MD, FACS",Medical,clinic,911 Park Avenue,New York,+1-212-532-4590,info@drmonicatadros.com,https://drmonicatadros.com,,Pediatric Intake Coordinator,6.49,OpenStreetMap (Overpass),raw_unverified
Internal Medicine Associates,Medical,clinic,17 East 102nd Street,,+1 212-659-8551,,https://www.mountsinai.org/locations/mount-sinai/care/ambulatory-care/internal-medicine,,Pediatric Intake Coordinator,6.49,OpenStreetMap (Overpass),raw_unverified
South Bronx Classical III,School,school,3458 3rd Avenue,New York,,,,,School Social Worker,6.49,OpenStreetMap (Overpass),raw_unverified
Micheal's Optical,Medical,hospital,1153 2nd Avenue,New York,,,,,Pediatric Intake Coordinator,6.49,OpenStreetMap (Overpass),raw_unverified
The Mount Sinai Hospital,Medical,hospital,1 Gustave L. Levy Place,New York,+1 212-241-6500,,http://www.mountsinai.org/locations/mount-sinai,,Pediatric Intake Coordinator,6.49,OpenStreetMap (Overpass),raw_unverified
Northside Catholic School at Saint Vincent De Paul,School,school,180 North 7th Street,,,,,,School Social Worker,6.5,OpenStreetMap (Overpass),raw_unverified
"Doctor Martin Luther King, Junior Health Center",Medical,clinic,1265 Franklin Avenue,Bronx,+1 718 503 7715,,https://www.mlkhealthcenter.com/locations/dr-martin-luther-king-jr-health-center/,,Pediatric Intake Coordinator,6.5,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,1150 3rd Avenue,,+1 212-933-0007,,https://www.citymd.com/urgent-care-locations/ny/new-york/east-67th/005,,Pediatric Intake Coordinator,6.5,OpenStreetMap (Overpass),raw_unverified
International Union of Operating Engineers - Local 15 Training,School,school,,,,,,,School Social Worker,6.5,OpenStreetMap (Overpass),raw_unverified
Ever/Body Upper East Side,Medical,doctors,1028 Lexington Avenue,New York,,,,,Pediatric Intake Coordinator,6.5,OpenStreetMap (Overpass),raw_unverified
